145 0 0 0 0 0
146 0 0 0 0 0
148 0 0 0 0 0
152 0 0 0 0 0
153 1 0 0 0 0
154 0 0 0 0 0
162 0 0 0 1 0
163 0 0 1 0 0
164 0 0 1 0 0
165 0 0 1 1 0
166 0 0 0 0 0
169 0 0 1 0 0
170 0 0 0 0 0
171 0 1 0 0 1
172 1 1 0 0 1
173 0 1 0 0 1
184 0 0 1 0 1
186 0 0 1 0 1
188 0 0 0 0 1
189 1 0 0 0 0
190 1 0 0 0 0
192 1 0 0 0 0
193 1 0 0 0 0
197 0 0 0 0 0
207 0 0 1 0 0
214 0 0 1 0 0
215 0 0 0 0 0
216 0 0 0 0 0
234 0 0 0 0 0
252 0 1 0 0 0
293 0 0 0 0 0
304 0 0 0 0 1
311 0 1 0 0 0
316 0 0 0 0 0
321 0 0 0 0 0
322 0 0 0 0 0
334 0 1 0 0 0
338 0 0 1 0 0
340 0 0 1 0 0
